Exams,link,CFU,Language,Period,ordinamento,table,SSD,Pillar,Subpillar,avaiability
3d video games,https://www.unimi.it/it/ugov/of/af20260000fba-20,6,ENG,3,F94|FBA,B|2,INF/01,INTERACTION AND MULTIMEDIA,Videogames,enabled
Advanced multivariate statistics,https://www.unimi.it/it/ugov/of/af20260000fba-72,6,ENG,2,FBA,1,SECS-S/01,"ARTIFICIAL INTELLIGENCE, DATA ANALYTICS AND BIG DATA",Data Analytics,enabled
Affective computing,https://www.unimi.it/it/ugov/of/af20260000fba-19,6,ENG,1,F94|FBA,C|2,ING-INF/05,INTERACTION AND MULTIMEDIA,Imaging and Video,enabled
Algorithms for massive datasets,https://www.unimi.it/it/ugov/of/af20260000fba-18,6,ENG,2,F94|FBA,B|2,INF/01,"ARTIFICIAL INTELLIGENCE, DATA ANALYTICS AND BIG DATA",Data Analytics,enabled
Algoritmi e complessita',https://www.unimi.it/it/ugov/of/af20260000fba-17,6,ITA,1,F94|FBA,B|2,INF/01,"ALGORITHMS, SOFTWARE AND THEORY",Algorithms,enabled
Algoritmi paralleli e distribuiti,https://www.unimi.it/it/ugov/of/af20260000fba-16,6,ITA,1,F94|FBA,B|2,INF/01,"ALGORITHMS, SOFTWARE AND THEORY",Algorithms,enabled
Algoritmica per il web,https://www.unimi.it/it/ugov/of/af20260000fba-15,6,ITA,2,FBA,2,INF/01,"ARTIFICIAL INTELLIGENCE, DATA ANALYTICS AND BIG DATA",Data Analytics,From 2026/2027
Analisi e gestione del rischio,https://www.unimi.it/it/ugov/of/af20260000fba-14,6,ITA,1,FBA,2,INF/01,"COMPUTING SYSTEMS IN INDUSTRY, BUSINESS AND MEDICINE",Industry and Business,From 2026/2027
Architetture multimediali/Sistemi multimediali e interaction design,https://www.unimi.it/it/ugov/of/af20260000fba-54,6,ITA,2,F94|FBA,A|B|2,INF/01,INTERACTION AND MULTIMEDIA,Multimedia,enabled
Artificial intelligence,https://www.unimi.it/it/ugov/of/af20260000fba-11,6,ENG,1,F94|FBA,A|B|2,INF/01,"ARTIFICIAL INTELLIGENCE, DATA ANALYTICS AND BIG DATA",Artificial Intelligence,enabled
Artificial intelligence for time series analysis,https://www.unimi.it/it/ugov/of/af20260000fba-13,6,ENG,3,FBA,2,INF/01,"ARTIFICIAL INTELLIGENCE, DATA ANALYTICS AND BIG DATA",Artificial Intelligence,enabled
Artificial intelligence for video games,https://www.unimi.it/it/ugov/of/af20260000fba-12,6,ENG,1,F94|FBA,B|2,INF/01,INTERACTION AND MULTIMEDIA,Videogames,enabled
